        46       561 1.06400+2 1.20200+1 46-Pd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 6.38908-6-4.54363+1 5.63708-1-4.62418+1 8.05464-1 1.46689-1 0.0       1.46689-1 1.07927+0
 6.40410-6-4.56879+1 3.12097-1-4.62493+1 5.61416-1 0.0       0.0       0.0       7.50267-1
 6.41145-6-4.58215+1 1.78464-1-4.62530+1 4.31480-1 0.0       0.0       0.0       6.25945-1
 6.42521-6-4.59975+1 2.46545-3-4.62599+1 2.62410-1 0.0       0.0       0.0       4.50422-1
 6.44930-6-4.62351+1-2.35098-1-4.62721+1 3.69746-2 0.0       0.0       0.0       2.91760-1
 6.52158-6-4.68083+1-8.08324-1-4.63085+1-4.99869-1 0.0       0.0       0.0       4.15113-1
 6.52471-6-4.68341+1-8.34120-1-4.63104+1-5.23724-1 2.75386-8 0.0       2.75386-8 4.28569-1
 6.55368-6-4.71005+1-1.10048+0-4.63295+1-7.70947-1 3.84718-7 0.0       3.84718-7 5.61209-1
 6.55683-6-4.71345+1-1.13447+0-4.63316+1-8.02862-1 4.41277-7 0.0       4.41277-7 5.76896-1
 6.56702-6-4.72657+1-1.26571+0-4.63383+1-9.27370-1 6.48982-7 0.0       6.48982-7 6.31191-1
 6.57065-6-4.73198+1-1.31976+0-4.63407+1-9.79019-1 1.82818-2 0.0       1.82818-2 6.52299-1
 6.58895-6-4.71464+1-1.14638+0-4.63528+1-7.93554-1 1.10709-1 0.0       1.10709-1 7.81521-1
 6.59935-6-4.70188+1-1.01882+0-4.63597+1-6.59131-1 1.72144-1 0.0       1.72144-1 8.79810-1
 6.61551-6-4.68107+1-8.10740-1-4.63704+1-4.40375-1 3.20951-1 0.0       3.20951-1 1.08491+0
 6.63168-6-4.66060+1-6.05996-1-4.63810+1-2.24955-1 5.45508-1 0.0       5.45508-1 1.36952+0
 6.64784-6-4.64384+1-4.38379-1-4.63917+1-4.66628-2 8.62091-1 0.0       8.62091-1 1.74165+0
 6.65321-6-4.63957+1-3.95708-1-4.63953+1-4.45448-4 9.97352-1 0.0       9.97352-1 1.88372+0
 6.66126-6-4.63685+1-3.68468-1-4.64006+1 3.21144-2 1.20065+0 0.0       1.20065+0 2.11173+0
 6.66932-6-4.63641+1-3.64120-1-4.64059+1 4.17817-2 1.40444+0 0.0       1.40444+0 2.35433+0
 6.67743-6-4.63858+1-3.85771-1-4.64113+1 2.54858-2 1.62397+0 0.0       1.62397+0 2.60852+0
 6.68959-6-4.64784+1-4.78417-1-4.64193+1-5.91272-2 1.95426+0 0.0       1.95426+0 2.99590+0
 6.69567-6-4.65525+1-5.52499-1-4.64233+1-1.29193-1 2.11985+0 0.0       2.11985+0 3.18644+0
 6.70175-6-4.66542+1-6.54203-1-4.64273+1-2.26881-1 2.28574+0 0.0       2.28574+0 3.37108+0
 6.71109-6-4.68465+1-8.46540-1-4.64335+1-4.13050-1 2.50201+0 0.0       2.50201+0 3.63670+0
 6.72925-6-4.73218+1-1.32184+0-4.64455+1-8.76354-1 2.80148+0 0.0       2.80148+0 4.05939+0
 6.73086-6-4.73783+1-1.37828+0-4.64465+1-9.31732-1 2.81970+0 0.0       2.81970+0 4.08932+0
 6.74955-6-4.70186+1-1.01863+0-4.64589+1-5.59739-1 2.91411+0 0.0       2.91411+0 4.33297+0
 6.75382-6-4.69025+1-9.02504-1-4.64617+1-4.40796-1 2.90107+0 0.0       2.90107+0 4.36025+0
