        64       825 1.57250+2 7.90040+0 64-Gd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 2.91069-6-6.07833+1 3.21667+0-5.01056+1-1.06778+1 3.40944-1 0.0       3.40944-1 8.78497+0
 2.91756-6-6.05022+1 3.49778+0-5.01063+1-1.03959+1 1.87556-1 0.0       1.87556-1 9.47001+0
 2.92444-6-6.02409+1 3.75909+0-5.01070+1-1.01339+1 9.52429-2 0.0       9.52429-2 1.03406+1
 2.93132-6-5.99731+1 4.02692+0-5.01077+1-9.86543+0 0.0       0.0       0.0       1.13588+1
 2.95715-6-5.91785+1 4.82146+0-5.01102+1-9.06829+0 0.0       0.0       0.0       1.59438+1
 3.04759-6-5.69128+1 7.08724+0-5.01201+1-6.79264+0 0.0       0.0       0.0       3.52994+1
 3.09280-6-5.55414+1 8.45855+0-5.01261+1-5.41533+0 0.0       0.0       0.0       5.04202+1
 3.13802-6-5.37790+1 1.02210+1-5.01321+1-3.64688+0 0.0       0.0       0.0       7.36729+1
 3.14575-6-5.34165+1 1.05835+1-5.01331+1-3.28339+0 1.74295-2 0.0       1.74295-2 7.87975+1
 3.15347-6-5.30380+1 1.09620+1-5.01342+1-2.90388+0 3.44882-2 0.0       3.44882-2 8.43411+1
 3.16119-6-5.26373+1 1.13627+1-5.01352+1-2.50216+0 6.29955-2 0.0       6.29955-2 9.03298+1
 3.16892-6-5.22190+1 1.17810+1-5.01362+1-2.08277+0 1.06219-1 0.0       1.06219-1 9.67890+1
 3.17664-6-5.17883+1 1.22117+1-5.01372+1-1.65112+0 1.65329-1 0.0       1.65329-1 1.03753+2
 3.18436-6-5.13518+1 1.26482+1-5.01383+1-1.21354+0 2.37547-1 0.0       2.37547-1 1.11274+2
 3.19209-6-5.09142+1 1.30858+1-5.01393+1-7.74916-1 3.15068-1 0.0       3.15068-1 1.19439+2
 3.19981-6-5.04759+1 1.35241+1-5.01403+1-3.35641-1 3.85756-1 0.0       3.85756-1 1.28378+2
 3.20754-6-5.00305+1 1.39695+1-5.01413+1 1.10814-1 4.35989-1 0.0       4.35989-1 1.38268+2
 3.21526-6-4.95641+1 1.44359+1-5.01423+1 5.78201-1 4.54874-1 0.0       4.54874-1 1.49345+2
 3.22298-6-4.90582+1 1.49418+1-5.01434+1 1.08520+0 4.38088-1 0.0       4.38088-1 1.61899+2
 3.23071-6-4.84931+1 1.55069+1-5.01444+1 1.65125+0 3.89481-1 0.0       3.89481-1 1.76280+2
 3.23843-6-4.78530+1 1.61470+1-5.01454+1 2.29238+0 3.19642-1 0.0       3.19642-1 1.92903+2
 3.25388-6-4.63123+1 1.76877+1-5.01475+1 3.83519+0 1.69349-1 0.0       1.69349-1 2.34986+2
 3.26160-6-4.54051+1 1.85949+1-5.01485+1 4.74335+0 1.09326-1 0.0       1.09326-1 2.61845+2
 3.26933-6-4.44041+1 1.95959+1-5.01495+1 5.74542+0 6.51503-2 0.0       6.51503-2 2.93884+2
 3.27705-6-4.33037+1 2.06963+1-5.01505+1 6.84686+0 3.58397-2 0.0       3.58397-2 3.32544+2
 3.28477-6-4.20946+1 2.19054+1-5.01516+1 8.05699+0 1.81998-2 0.0       1.81998-2 3.79869+2
 3.29250-6-4.07523+1 2.32477+1-5.01526+1 9.40030+0 0.0       0.0       0.0       4.38807+2
 3.30880-6-3.73800+1 2.66200+1-5.01547+1 1.27747+1 0.0       0.0       0.0       6.22789+2
 3.32103-6-3.41910+1 2.98090+1-5.01564+1 1.59653+1 0.0       0.0       0.0       8.49243+2
 3.33938-6-2.76551+1 3.63449+1-5.01588+1 2.25037+1 0.0       0.0       0.0       1.45155+3
 3.34855-6-2.30472+1 4.09528+1-5.01600+1 2.71128+1 0.0       0.0       0.0       1.93534+3
 3.35772-6-1.64135+1 4.75865+1-5.01612+1 3.37477+1 0.0       0.0       0.0       2.58557+3
 3.36874-6-5.31870+0 5.86813+1-5.01627+1 4.48440+1 2.76590+0 0.0       2.76590+0 3.62724+3
 3.37425-6 1.22699+0 6.52270+1-5.01634+1 5.13904+1 6.98242+0 0.0       6.98242+0 4.26325+3
