        89       916 2.27000+2 1.00700+1 89-Ac-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 2.74905-6-7.91198+1 9.88019+0-6.98618+1-9.25803+0 5.49029+1 0.0       5.49029+1 1.61978+3
 2.75193-6-7.44985+1 1.45015+1-6.98624+1-4.63610+0 5.22024+1 0.0       5.22024+1 1.57859+3
 2.75646-6-6.78755+1 2.11245+1-6.98634+1 1.98790+0 4.72814+1 0.0       4.72814+1 1.49747+3
 2.76140-6-6.28497+1 2.61503+1-6.98645+1 7.01478+0 4.06209+1 0.0       4.06209+1 1.38993+3
 2.76510-6-6.03368+1 2.86632+1-6.98653+1 9.52843+0 3.52593+1 0.0       3.52593+1 1.29945+3
 2.76914-6-5.85879+1 3.04121+1-6.98662+1 1.12783+1 2.93908+1 0.0       2.93908+1 1.19410+3
 2.77379-6-5.83067+1 3.06933+1-6.98673+1 1.15606+1 2.26223+1 0.0       2.26223+1 1.06844+3
 2.77747-6-5.90012+1 2.99988+1-6.98682+1 1.08670+1 1.82637+1 0.0       1.82637+1 9.68122+2
 2.78116-6-6.03342+1 2.86658+1-6.98690+1 9.53479+0 1.38934+1 0.0       1.38934+1 8.69352+2
 2.78774-6-6.36884+1 2.53116+1-6.98706+1 6.18217+0 8.27947+0 0.0       8.27947+0 7.01759+2
 2.79433-6-6.73976+1 2.16024+1-6.98721+1 2.47450+0 4.55460+0 0.0       4.55460+0 5.51525+2
 2.80421-6-7.21928+1 1.68072+1-6.98744+1-2.31843+0 1.15780+0 0.0       1.15780+0 3.66760+2
 2.80750-6-7.41365+1 1.48635+1-6.98752+1-4.26133+0 3.96339-7 0.0       3.96339-7 3.16461+2
 2.81088-6-7.60563+1 1.29437+1-6.98760+1-6.18035+0 3.89046-7 0.0       3.89046-7 2.70538+2
 2.81425-6-7.74057+1 1.15943+1-6.98767+1-7.52894+0 3.81735-7 0.0       3.81735-7 2.30055+2
 2.82100-6-7.94884+1 9.51159+0-6.98783+1-9.61008+0 3.39380-7 0.0       3.39380-7 1.64018+2
 2.82774-6-8.11087+1 7.89125+0-6.98799+1-1.12288+1 2.78525-7 0.0       2.78525-7 1.14947+2
 2.83449-6-8.24431+1 6.55694+0-6.98815+1-1.25616+1 2.11007-7 0.0       2.11007-7 7.94123+1
 2.84123-6-8.35800+1 5.41999+0-6.98831+1-1.36970+1 1.47565-7 0.0       1.47565-7 5.42364+1
 2.84798-6-8.45729+1 4.42712+0-6.98846+1-1.46883+1 9.52626-8 0.0       9.52626-8 3.67193+1
 2.85472-6-8.54568+1 3.54315+0-6.98862+1-1.55706+1 5.67697-8 0.0       5.67697-8 2.47148+1
 2.86146-6-8.62566+1 2.74343+0-6.98878+1-1.63688+1 3.12295-8 0.0       3.12295-8 1.66088+1
 2.86821-6-8.69901+1 2.00988+0-6.98894+1-1.71008+1 1.58587-8 0.0       1.58587-8 1.12420+1
 2.87495-6-8.76712+1 1.32879+0-6.98909+1-1.77803+1 0.0       0.0       0.0       7.80933+0
 2.88554-6-8.86594+1 3.40555-1-6.98934+1-1.87660+1 0.0       0.0       0.0       5.06765+0
 2.89050-6-8.90964+1-9.63633-2-6.98946+1-1.92018+1 0.0       0.0       0.0       4.57116+0
 2.96742-6-8.39784+1 5.02161+0-6.99125+1-1.40659+1 0.0       0.0       0.0       2.41769+1
 2.98665-6-8.22329+1 6.76714+0-6.99170+1-1.23158+1 0.0       0.0       0.0       4.00603+1
 3.00107-6-8.07519+1 8.24811+0-6.99205+1-1.08314+1 0.0       0.0       0.0       5.88450+1
 3.02270-6-7.81021+1 1.08979+1-6.99264+1-8.17573+0 0.0       0.0       0.0       1.06130+2
 3.04434-6-7.46224+1 1.43776+1-6.99322+1-4.69014+0 0.0       0.0       0.0       2.04277+2
 3.05807-6-7.16957+1 1.73043+1-6.99360+1-1.75978+0 2.9082-14 0.0       2.9082-14 3.29335+2
 3.05847-6-7.15986+1 1.74014+1-6.99361+1-1.66251+0 1.03474-9 0.0       1.03474-9 3.34201+2
 3.07353-6-6.72389+1 2.17611+1-6.99401+1 2.70126+0 1.69308-7 0.0       1.69308-7 5.93229+2
 3.07544-6-6.65560+1 2.24440+1-6.99407+1 3.38467+0 2.04511-7 0.0       2.04511-7 6.39398+2
 3.08301-6-6.34571+1 2.55429+1-6.99427+1 6.48564+0 1.82026-2 0.0       1.82026-2 8.59810+2
 3.09058-6-5.93922+1 2.96078+1-6.99448+1 1.05526+1 3.60179-2 0.0       3.60179-2 1.15104+3
 3.09390-6-5.70650+1 3.19350+1-6.99457+1 1.28806+1 4.90464-2 0.0       4.90464-2 1.30421+3
 3.09722-6-5.38003+1 3.51997+1-6.99466+1 1.61463+1 6.21028-2 0.0       6.21028-2 1.47421+3
 3.11246-6-4.05444+1 4.84556+1-6.99507+1 2.94063+1 9.11232+0 0.0       9.11232+0 2.48408+3
 3.12009-6-3.32075+1 5.57925+1-6.99528+1 3.67453+1 1.65817+1 0.0       1.65817+1 3.12373+3
 3.12771-6-2.65596+1 6.24404+1-6.99548+1 4.33953+1 2.78751+1 0.0       2.78751+1 3.83128+3
 3.13600-6-2.25981+1 6.64019+1-6.99571+1 4.73590+1 4.49266+1 0.0       4.49266+1 4.63905+3
 3.14118-6-2.29915+1 6.60085+1-6.99585+1 4.69670+1 5.78823+1 0.0       5.78823+1 5.13957+3
 3.14507-6-2.53414+1 6.36586+1-6.99596+1 4.46182+1 6.76270+1 0.0       6.76270+1 5.50063+3
 3.15143-6-3.25277+1 5.64723+1-6.99613+1 3.74336+1 8.36015+1 0.0       8.36015+1 6.04311+3
 3.15382-6-3.63539+1 5.26461+1-6.99620+1 3.36080+1 8.96399+1 0.0       8.96399+1 6.22687+3
 3.15674-6-4.27207+1 4.62793+1-6.99628+1 2.72421+1 9.70045+1 0.0       9.70045+1 6.43165+3
 3.16389-6-6.07692+1 2.82308+1-6.99649+1 9.19572+0 1.09642+2 0.0       1.09642+2 6.83048+3
 3.16509-6-6.43288+1 2.46712+1-6.99652+1 5.63642+0 1.11754+2 0.0       1.11754+2 6.88092+3
 3.16723-6-7.21343+1 1.68657+1-6.99659+1-2.16842+0 1.14411+2 0.0       1.14411+2 6.95907+3
 3.17221-6-8.80629+1 9.37081-1-6.99673+1-1.80956+1 1.17271+2 0.0       1.17271+2 7.07666+3
 3.17262-6-8.94741+1-4.74061-1-6.99674+1-1.95066+1 1.17510+2 0.0       1.17510+2 7.08231+3
 3.17278-6-8.93611+1-3.61125-1-6.99675+1-1.93937+1 1.17599+2 0.0       1.17599+2 7.08426+3
 3.17305-6-8.83935+1 6.06526-1-6.99676+1-1.84259+1 1.17756+2 0.0       1.17756+2 7.08745+3
 3.17346-6-8.68713+1 2.12867+0-6.99677+1-1.69037+1 1.17991+2 0.0       1.17991+2 7.09171+3
 3.17367-6-8.60558+1 2.94415+0-6.99677+1-1.60881+1 1.18109+2 0.0       1.18109+2 7.09361+3
 3.17411-6-8.40467+1 4.95333+0-6.99679+1-1.40788+1 1.18069+2 0.0       1.18069+2 7.09721+3
 3.18164-6-5.92844+1 2.97156+1-6.99700+1 1.06856+1 1.13190+2 0.0       1.13190+2 7.04504+3
 3.18359-6-5.29147+1 3.60853+1-6.99706+1 1.70559+1 1.09870+2 0.0       1.09870+2 6.99767+3
 3.18942-6-3.74570+1 5.15430+1-6.99723+1 3.25153+1 9.98852+1 0.0       9.98852+1 6.77747+3
 3.19259-6-3.02258+1 5.87742+1-6.99732+1 3.97475+1 9.20538+1 0.0       9.20538+1 6.61216+3
